text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,created_at,in_reply_to_user_id,author_id,id
@Dogeon_Official @RealCryptoGraph @KhunJoe5 @vespertinecap @avalancheavax @avaxholic @Avax_Journal @avalabsofficial @AVATAR_AVAX @tervelix Will pay $DON for Dogeon #NFTs 🐶,0,1,1,0,1470975556611022849,2021-12-15T04:38:37.000Z,1436616419966283785,1310945293492539392,1470976564972208128
"@avaxholic @AvalaunchApp @traderjoe_xyz @HurricaneSwap @dypfinance @BenqiFinance @Colonylab @pangolindex @avalancheavax @MIM_Replenishes @Wonderland_fi this is very skewed considering there are 195,723 addresses staking $TIME at this very second.",0,0,8,0,1470968169666068487,2021-12-15T04:37:02.000Z,1392040970431074309,1382402469733437440,1470976168132104192
"@avalancheavax Bridge’s tracker is both useful, and a tongue in cheek dig at ETH’s speeds/costs
I can’t wait to see the AVAX leg of the transaction clear in less than 4 seconds 🤌🏽🤌🏽🤌🏽🤌🏽🐸🐸🐲 https://t.co/rXftGm0Mor",0,0,0,0,1470975901659713542,2021-12-15T04:35:59.000Z,1055894724245155841,192621754,1470975901659713542
@float_capital @avalancheavax @traderjoe_xyz $JOE is awesome! Check out the $MEAD/$AVAX farm on @traderjoe_xyz that pays rewards in $JOE and $MEAD!,0,0,0,0,1470785655496056833,2021-12-15T04:31:14.000Z,1376575727424974849,1391071713786433536,1470974710099824640
@avaxholic @AvalaunchApp @traderjoe_xyz @HurricaneSwap @dypfinance @BenqiFinance @Colonylab @pangolindex @avalancheavax @MIM_Replenishes @Wonderland_fi This is not even close to accurate,0,0,2,0,1470968169666068487,2021-12-15T04:30:32.000Z,1392040970431074309,1438511354793500684,1470974532047486982
"@paraswap @avalancheavax Thank God for letting me meet paraswap. Some people are shallow, and some people are inferior. When you meet a rainbow-like PSP one day, you will feel that the others are nothing but clouds.",0,0,0,0,1470571327262281730,2021-12-15T04:30:18.000Z,1119329153814355973,1344469190351024131,1470974473155145728
"Top Gainers in @Avalancheavax Ecosystem Last 24H

$CRA @PlayCrabada
$PEFI @penguin_defi
$THOR @ThorNodes
$KLO @GetKalao
$GG @apexthetoken
$JOE @traderjoe_xyz
$BRIG @BrigFinance
$AVAX @avalancheavax
$MAXI @maximizer_xyz
$PNG @pangolindex

#avalanche $AVAX https://t.co/zurnqoyOLu",5,6,38,2,1470974466863898630,2021-12-15T04:30:16.000Z,,1390321458140778499,1470974466863898630
@avalancheavax where can I buy avalanche swag?,0,0,1,0,1470973718843346947,2021-12-15T04:27:18.000Z,1055894724245155841,496082117,1470973718843346947
"@el33th4xor #AVAX @avalancheavax will be in the top 1, though.",0,0,0,0,1470869700565520388,2021-12-15T04:16:41.000Z,399412477,1219964494102900736,1470971045318479875
@TxGamerChick @avalancheavax @ParacosmsNFT I want #2!,0,0,0,0,1470235535172120580,2021-12-15T04:15:10.000Z,953079498165043200,1029411912650514435,1470970666308440067
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO Yahoo! We'd like to congratulate you on your successful collaboration @YDragons_ &amp; @AxialDeFi. Could you tell us about your plans for this partnership? We are eager to hear from you. Best of luck to you!,0,0,0,0,1470916792994332673,2021-12-15T04:09:52.000Z,1409531617773723650,1467080989490880513,1470969329525088259
Bought a bag of sushi and avax yesterday. @danielesesta @SushiSwap @avalancheavax @zhusu,0,0,0,0,1470969178114834436,2021-12-15T04:09:16.000Z,,1391270868219613184,1470969178114834436
"@Avalanche_Space @circlepay @avalancheavax @circlepay, grab your initiative , Isn't bringing your USDC within a big deal? Seems to be @avalancheavax ready to totally embrace your #DEFI? glance beyond, shall we?",0,0,0,0,1470807255700602881,2021-12-15T04:08:57.000Z,1409531617773723650,1355825028680454146,1470969101946601484
@Avalanche_Space @circlepay @avalancheavax Congratulations on the amazing news! This is going to be the best partnership ever. @circlepay @avalancheavax We are all happy and excited on your project! Rooting for your success!,0,0,0,0,1470807255700602881,2021-12-15T04:07:31.000Z,1409531617773723650,1462283468524515329,1470968738367164422
"Ask your question Hindi or English in AMA Series#3
#Avalanche #AVAX @Avalanche_In @avalancheavax 
@CrystaMagica @ShaLisWei @LoangHong 
https://t.co/wT3oIIDSzW
https://t.co/y075VFHmnc",0,0,3,0,1470968407168143362,2021-12-15T04:06:12.000Z,,1347820622475264002,1470968407168143362
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO Nice another daily digest news thankyou @Avalanche_Space Also congrats for this partnership @YDragons_  with @AxialDeFi  keep it up!,0,0,0,0,1470916792994332673,2021-12-15T04:05:53.000Z,1409531617773723650,1467461016975855622,1470968330194337793
"@Avalanche_Space @circlepay @avalancheavax Congrats on your Partnership.just keep Continue Supporting each others Platform,for more benefits and Oppurtunity.May this Partnership of yours Last longer and join forces to create lots of Projects .GoodLuck !",0,0,0,0,1470807255700602881,2021-12-15T04:02:06.000Z,1409531617773723650,1470246514379587586,1470967378305744896
@Avalanche_Space @Defrost_Finance @partyswapdex @circlepay @avalancheavax @traderjoe_xyz @chainlink @YDragons_ @AxialDeFi @AVME_IO The @Defrost_Finance got this #SuperVault for you so don't miss as they'll be giving you opportunities for better earnings!! Check it guys!,0,0,0,0,1470916792994332673,2021-12-15T04:01:58.000Z,1409531617773723650,1381977908772622337,1470967345115848711
@sw4g_ct @avalancheavax @SushiSwap Im fine with this,0,0,2,0,1470576578547662858,2021-12-15T03:59:46.000Z,822516153956216832,1461196359399141380,1470966790813409283
@HuntReid3 @spencernoon @ethereum @0xPolygon @avalancheavax @etherscan @polygonscan @SnowTraceHQ Locked and Loaded indeed! Great presale value at $0.01/$MTK! :D,0,0,0,0,1470754854608019466,2021-12-15T03:56:25.000Z,1466678032723509257,1467656224195768324,1470965948262027267
"@Don_wonton This will happen soon but #AVAX @avalancheavax will be in the top 1.
Don(t) go yet, Don!",0,0,0,0,1470869341705064449,2021-12-15T03:55:21.000Z,753389853757157377,1219964494102900736,1470965678228312068
@NFTradeOfficial @avalancheavax @chain_port No longer available on trader joe now,0,0,0,0,1467050527762616324,2021-12-15T03:55:20.000Z,1378716588489199617,1393030935780597761,1470965674231013379
@NFTradeOfficial @avalancheavax @chain_port Wouldn't the ruin LP's who were unaware of this change coming?,0,0,0,0,1467050527762616324,2021-12-15T03:54:48.000Z,1378716588489199617,1393030935780597761,1470965541271597060
@Avalanche_Space @circlepay @avalancheavax Wow! This what we waited for. @circlepay native support for USD coin on @avalancheavax  to accelerate #DeFi adoption. Good luck guys. Im rooting for you. You have my full support. Have a great and successful event,0,0,0,0,1470807255700602881,2021-12-15T03:54:30.000Z,1409531617773723650,1467141488433795072,1470965465576927232
"@avalancheavax Just picked me back up from the moon.

wen Mars? https://t.co/W2xewaYn7l",0,0,0,0,1470965000026017794,2021-12-15T03:52:39.000Z,1055894724245155841,1457803768687255562,1470965000026017794
@Fishfinance_io @LuckyUnicornNFT @yayprotocol @avaxholic @Avax_Journal @AVAXDaily @avalancheavax @LuckyNetworkWW @BinanceChain @cz_binance we can bought it with avax c chain or bsc?,0,1,1,0,1470959435614806017,2021-12-15T03:50:29.000Z,1463905680784433166,1372565948327108618,1470964453432721409
@ghostmarketio @avalancheavax Congrats!,0,0,0,0,1455124961228636164,2021-12-15T03:46:31.000Z,1268615718624362501,1397309547572776965,1470963455381356547
"Latest news update in @avalancheavax ecosystem!

#AVAX #Avalanche #AvalancheRush #Avaxholicnews https://t.co/ivs4yQVMkz",12,2,39,0,1470963365652566019,2021-12-15T03:46:10.000Z,,1392040970431074309,1470963365652566019
@Dogeon_Official @el33th4xor @Avax_Journal @avaxholic @avalancheavax @AVATAR_AVAX @avalabsofficial @CederNets @tervelix @kasperbaobei @KhunJoe5 Sweet,0,0,0,0,1469985445928861696,2021-12-15T03:46:01.000Z,1436616419966283785,1397309547572776965,1470963329795596288
