author_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,conversation_id,in_reply_to_user_id,created_at,id,text
1397868779166593033,2,0,6,0,1448864739736440835,,2021-10-15T04:14:07.000Z,1448864739736440835,Strong backers and partners @0xPolygon @Venly_io #anzu @zokyo_io @animocabrands @BitboyNews @GenblockCapital @AU21Capital @MagnusCap @antifundvc @ZBScapital @cryptowendy @avalancheavax @tkxcapital @shimacapital @kucoincom ….and more coming partners. $BLOK @bloktopia 🚀🚀🚀.
911734119960256512,0,0,3,0,1448678622643040261,969649866937745408,2021-10-15T04:04:20.000Z,1448862280561532928,@DeroProject @ChrisBlec @OlympusDAO @SecretNetwork @avalancheavax @optimismPBR @arbitrum @FantomFDN @xdaichain @ChrisBlec @DeroProject let's gooo!!
1294688820496130049,0,0,0,0,1448725298606977031,2260491445,2021-10-15T04:02:32.000Z,1448861823843905561,"@CoinMarketCap #Shibainu
#Safemoon
#TCG2
#867crypto🚀
#Feg
#Rise
#Pornrocket
#SPORE 🍄 @avalancheavax
#AquaGoatV2
#PIG
#AquaPig
#Shico
#ELONGATE
#ICW

#Holo $HOT
#Coti
#everipedia $IQ
#Poligon $Matic
#EPS
#MANA
🔥🔥🔥🚀🚀🚀🌕"
1382860128395796483,0,0,3,0,1448678622643040261,247973359,2021-10-15T03:58:33.000Z,1448860825209368580,@ChrisBlec @OlympusDAO @SecretNetwork @avalancheavax @optimismPBR @arbitrum @FantomFDN @xdaichain You need to talk to $dero
139760544,0,0,0,0,1448274873382543367,1371170351128924165,2021-10-15T03:55:03.000Z,1448859943935913984,"@LydiaFinance @MaximusFarm @Avalanche_Space @avalancheavax @TodayAvalanche @avalanche_tr @avalanche_fr @avaxholic Thanks 🤗

@AHSANHA77075995 
@Gomez125J https://t.co/ULCjYmM2nm"
969649866937745408,15,4,73,1,1448678622643040261,247973359,2021-10-15T03:54:25.000Z,1448859784183230556,"@ChrisBlec @OlympusDAO @SecretNetwork @avalancheavax @optimismPBR @arbitrum @FantomFDN @xdaichain Ping if interested in truly POW-CPU,private layer1 blockchain with Homomorphic Encryption,where no one can check ur balances,TXs etc. as credit/debit R performed on encrypted user data without any obfuscation buzzwords.
PrivateSC &amp; no AWS/permission required to join $DERO NW."
1294688820496130049,0,0,0,0,1448833128848449541,914029581610377217,2021-10-15T03:48:21.000Z,1448858256600936449,"@HuobiGlobal #Shibainu
#Safemoon
#TCG2
#867crypto
#Feg
#Pornrocket
#SPORE 🍄 @avalancheavax
#Rise
#AquaGoatV2
#PIG
#AquaPig 

#Holo $HOT
#Coti
#everipedia  $IQ
#Poligon $Matic
#EPS
#MANA

🔥🔥🔥🚀🚀🚀🌕"
358601719,0,0,0,0,1448262692335149059,1431926261841113100,2021-10-15T03:48:18.000Z,1448858242839314436,"@AvaxGoatz @Baguette_avax @NFTradeOfficial @YetiSwap @AVAXDaily @avalancheavax @avaxtr The work you did on the project was outstanding. Thanks to your focus and determination in going the extra mile and managing all of the complexities of this project. You deserve our full support.
@meliyani29 
@jarwo_37
@rianrenaldhyy"
1448250256794157056,0,0,0,0,1448661132466540556,912539725071777792,2021-10-15T03:36:52.000Z,1448855365144088581,"@gate_io @avalancheavax @TrustSwap @Buffdogecoin is the Buff version of @Dogecoin @MattWallace888 @gate_io @elonmusk lets go to the mars🚀🚀🚀

#Buffdogecoin #Buffdogecoinarmy #Dogeprotector @gate_io @buffdogecoin @CoinMarketCap @Tokocrypto @MrBuffDogeCoin @binance @cz_binance @BinanceChain https://t.co/FXmyeQmGLw"
1420244728621133828,0,1,3,0,1448783729569288194,1325398948639600640,2021-10-15T03:36:46.000Z,1448855341068742659,"@Nakamotolisk @0xfoobar @avalancheavax Rollups have superior interoperability and liquidity sharing properties than monolithic networks - as dAMM has demonstrated. Indeed, it's possible to have fully composable sharded zk rollups - which is nigh impossible for monolithic. Also &gt;100x TPS.

https://t.co/My2IIvxqIB"
