conversation_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,text,in_reply_to_user_id,id,created_at,author_id
1493094078312972288,0,1,0,0,@buballer02 @jdome42 @Powernodes_ @avalancheavax So no one’s doxxed but they are in the UOT. Lol seems like that’s a buzzword too now,18752231,1493429426058674179,2022-02-15T03:38:16.000Z,769603796376903680
1493310728043999232,0,1,2,0,"@Avalant_NFT @avalancheavax @onlyupc   

😂😂😂

Yo dude, let's load up our bags",1439663375676489728,1493428830391914499,2022-02-15T03:35:54.000Z,1224535510628163584
1493094078312972288,0,0,0,0,"@buballer02 @Powernodes_ @avalancheavax Hey, have you guys found someone for marketing? I would be interested in helping with some ideas if you are looking for someone to join the team. I’m not a shill bot, lol just an investor with 10+ years in marketing",18752231,1493428259853422594,2022-02-15T03:33:38.000Z,1370658903520911360
1493259982586138625,0,0,0,0,@Avalanche_Space @morphie_network @avalancheavax What are the advantages of this price feeds? Can you list it all for us?,1409531617773723650,1493427736219889671,2022-02-15T03:31:33.000Z,1480409824533774338
1493422212682219523,0,1,6,0,@abuali17175 @chikn_nft @VendMachineNFT @swarms_ai @avalancheavax @VMTycoons @ShaunaBurbary @Chiknwhalegod @delsol_swarms @CosmosOnBlocks @MrWonderland21 @onethird_nerd @hoopdreamsbball I follow every one of those special people.  Chikn follow chikn?,1484231116236423169,1493427592900136960,2022-02-15T03:30:59.000Z,22292885
1488911535472791561,0,0,0,0,"@augmentedfin @avalancheavax @traderjoe_xyz 📣Augmented Finance protocol is now LIVE on #Avalanche

👉https://t.co/8GvDza9zSx to lend/borrow and earn highest yields on 13 most popular tokens on @avalancheavax

📈$AGF on @traderjoe_xyz

Details https://t.co/o2dd0ytImY

🚨2,000,000 $AGF #Airdrop for early users! See thread🧵",1359123268935045127,1493427210010906625,2022-02-15T03:29:28.000Z,1493262076961189889
1493344440395747329,0,0,5,0,@avalancheavax @DefiLlama #AVAX save the world,1055894724245155841,1493426956687138816,2022-02-15T03:28:27.000Z,838012793697660928
1493426913150312451,0,1,1,0,"Forever an @avalancheavax maxi 🔺

$AVAX is positioned to dominate gamefi. It all starts with @PlayCrabada $CRA. https://t.co/VPvKiwH1lI",,1493426913150312451,2022-02-15T03:28:17.000Z,1457803768687255562
1493426860134666240,1,0,2,0,"🤩@avalancheavax - $AVAX is now available on @ftx_us 

Click to trade now:
👉 https://t.co/eNzHTt2FnS

#AVAXMagazines #AVAX #FTX_US https://t.co/QIe3iiRiFc",,1493426860134666240,2022-02-15T03:28:04.000Z,1261964393035599872
1493094078312972288,0,1,0,0,"@DoctorOnionring @jdome42 @Powernodes_ @avalancheavax No ones doxxed! Who said they were? The lead dev is KYC’d through assure. 

No the new contract is not done but in the horizon as well as Thor’s. 

Again, i corrected your statement that we should have gotten a ftm validator node but now you want to prove you do know things",769603796376903680,1493426604764123140,2022-02-15T03:27:03.000Z,18752231
1493222004081803267,0,0,0,0,"@HoppersGame @ke11kw0k @AvaxNFTs @apa_nft @avalancheavax @WeekInAvalanche @AVAXClubDegen @avalabsofficial @TodayAvalanche @dirty_slogan @Crypt0nacci @AvaxRarity @Defarge79, @Jarvis45787507, @kfdna1 
Looking forward to this great project",1482429468593602560,1493426243705864192,2022-02-15T03:25:37.000Z,1388349853223178240
1486281128902533129,0,0,0,0,@huobi_incubator @HuobiWallet @avalancheavax @AVATAR_AVAX Read the $CULT Manifesto 🤡 https://t.co/uypVU4cZU0,1484017907739033601,1493426181416402952,2022-02-15T03:25:22.000Z,1477228815269175301
1491456609293201410,0,0,0,0,"@avaxholic @defichain @trondao @avalancheavax @ElrondNetwork @cronos_chain @0xPolygon @osmosiszone @ethereum @harmonyprotocol @BinanceChain @Polkadot @terra_money @klaytn_official The best DeFi that will change your life.
#klaytn #defi 2.1 Launch soon
Web : https://t.co/LWzxp0ruJf
Medium : https://t.co/ip1HYC9DJh
Discord : https://t.co/uQX11N2J1S https://t.co/KA7dTKLrD7",1392040970431074309,1493425735201357826,2022-02-15T03:23:36.000Z,1367276876616536079
1493094078312972288,0,1,0,0,@buballer02 @jdome42 @Powernodes_ @avalancheavax You can correct me here too but $POWER also hasn’t finished their new contract correct which means the sell pressure is still very high just because of the contract itself. Also you guys are in the #UOT but who is doxxed in the project again?,769603796376903680,1493425688547844098,2022-02-15T03:23:25.000Z,769603796376903680
1493425601725804552,0,0,3,0,"Come check out my newest video on #XRP. Like &amp; Subscribe to stay up-to-date, also #Crypto #Giveaway contest! Watch for details...
XRP, RippleNet Deep Dive! https://t.co/MrHvATzoIV via @YouTube 

@joseyea96 @Ripple_XRP1 @Ripple @RippleXDev @Cardano @avalancheavax @CryptoDiamondC1 https://t.co/ImPqkdZ1au",,1493425601725804552,2022-02-15T03:23:04.000Z,1332533268835688449
1493094078312972288,0,1,0,0,"@buballer02 @jdome42 @Powernodes_ @avalancheavax and since that avax is locked for an extended amount of time, plus their ftm. Price could skyrocket and then go back down by the time there lock up period is done.",769603796376903680,1493425338176712712,2022-02-15T03:22:01.000Z,769603796376903680
1493094078312972288,0,1,1,0,"@buballer02 @jdome42 @Powernodes_ @avalancheavax Do you know how much emmisions $POWER has? Even if avax quadruples it’s not enough when you are putting out so much more than your making. it’s a ponzi, and validator are buzzwords",769603796376903680,1493425163467165696,2022-02-15T03:21:20.000Z,769603796376903680
1468770584368754696,0,0,0,0,@Cobo_Wallet @avalancheavax Read the $CULT Manifesto 🤡 https://t.co/uypVU4cZU0,1061899317558931457,1493425054373322752,2022-02-15T03:20:54.000Z,1477228815269175301
1493094078312972288,0,1,0,0,@buballer02 @jdome42 @Powernodes_ @avalancheavax Protocol longevity and health. Afiak power hasn’t done a real world investment. Afiak power main devs or project lead also isn’t doxxed. Which makes real world investment harder.,769603796376903680,1493424951738736640,2022-02-15T03:20:29.000Z,769603796376903680
1493259982586138625,0,0,0,0,@Avalanche_Space @morphie_network @avalancheavax A wider range of applications may now benefit from this new feature. There is no doubt that customers will have access to the greatest items available.,1409531617773723650,1493424941567741954,2022-02-15T03:20:27.000Z,1455402756626272259
1493094078312972288,0,1,0,0,"@buballer02 @jdome42 @Powernodes_ @avalancheavax Renegade. I started this convo by saying validators are a buzzword; which they are. For you to go ahead and say “prolly nothing” you are basically just shilling. If they already own a ftm validator, owning an avax one doesn’t do much good in terms of what I was talking about",18752231,1493424693159899139,2022-02-15T03:19:27.000Z,769603796376903680
1493422212682219523,0,0,2,0,@MrWonderland21 @Chiknwhalegod @abuali17175 @chikn_nft @VendMachineNFT @swarms_ai @avalancheavax @VMTycoons @ShaunaBurbary @delsol_swarms @CosmosOnBlocks @onethird_nerd GN big dogs!! 💯🤝👑🐝 https://t.co/si4ubI0MjL,1462871941841313792,1493424518437621764,2022-02-15T03:18:46.000Z,42772527
1493384245431390208,0,0,0,0,"@TEENSONACID @FantomFDN @NFTKEY @avalancheavax @PotluckProtocol Magical world where dreams come true.
#Defi 2.0 #FantomDAO is launching soon! 
https://t.co/2NsLs0Lj4j https://t.co/AtPBstzxnk",28762996,1493424328935108608,2022-02-15T03:18:01.000Z,1367276876616536079
1493094078312972288,0,1,0,0,"@DoctorOnionring @jdome42 @Powernodes_ @avalancheavax So basically you have no idea what power has invested in and your here bashing with 0 knowledge. Got it!

For your information power has invested in a fantom validator node first! This is our second validator now.",769603796376903680,1493422986824536066,2022-02-15T03:12:41.000Z,18752231
1493422212682219523,0,0,5,0,@abuali17175 @CosmosOnBlocks @chikn_nft @VendMachineNFT @swarms_ai @avalancheavax @VMTycoons @ShaunaBurbary @Chiknwhalegod @delsol_swarms @MrWonderland21 @onethird_nerd @hoopdreamsbball GM fren,1484231116236423169,1493422793085571081,2022-02-15T03:11:54.000Z,1452475539420221445
