text,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,in_reply_to_user_id
"@AvaxLions @avalancheavax @LydiaFinance I hope this project is a success and then it becomes one of the best cryptos, I am enthusiastic about participating in this and also supporting it,Good luck.

Tag:-
@sameer_mahata
@mimilkss
@SandeepM09

#Giveaway #Airdrop",1368852416263827457,1482071655975473153,2022-01-15T01:34:59.000Z,0,0,0,0,1482164376153239552,1438093323319844871
"@AvaxLions @avalancheavax @LydiaFinance I hope to bring rewards and success to each other, This is a great opportunity for loyal supporters. ✈️

Tag:- 
@ShafiqKamal
@tricky_mind96 
@CryptoMalan

#Giveaway #Airdrop",1368477720959651842,1482071655975473153,2022-01-15T01:34:45.000Z,0,0,0,0,1482164317370073091,1438093323319844871
"@AvaxLions @avalancheavax @LydiaFinance Thank you so much for this chance &amp; finding ways to give back to the community. This is very much appreciated.

Tag:-
@MoASarhan1
@nilakash415
@SuckerCarlson

#Giveaway #Airdrop",1394522793048514560,1482071655975473153,2022-01-15T01:34:29.000Z,0,0,0,0,1482164253440491520,1438093323319844871
"@AvaxLions @avalancheavax @LydiaFinance It's a great and excellent project and also a great prize. Thank you for sharing this wonderful opportunity. Best wishes to all team members. Keep going and be successful. ✈️

Tag:-
@RoryRawson 
@MannuManak
@jaggajagdish7

#Giveaway #Airdrop",1446429888374722562,1482071655975473153,2022-01-15T01:34:16.000Z,0,0,0,0,1482164196024676354,1438093323319844871
"@AvaxLions @avalancheavax @LydiaFinance I have participated in following the guidelines and rules of this Airdrop, I hope that many people will be lucky to get a prize from this Airdrop!
 
Tag:-
@coinfreess
@HangJolie20
@patelprit444

#Giveaway #Airdrop",1468972197465055242,1482071655975473153,2022-01-15T01:33:50.000Z,0,0,0,0,1482164088159764480,1438093323319844871
@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain Good Project,1256077742392500224,1480457116435587074,2022-01-15T01:33:17.000Z,0,0,0,0,1482163950360104960,1463905680784433166
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain Its really nice and Fantastic project with great potential. The team's dedication and ingenuity with excellent fan support will make this the envy of the crypto world. Glad to be part.
@realsolomon_dev
@Rajigbolahan6
@BolajiMicheal3
 
#RacingFish #FiFi #AVAX #AVAXNFT",1440028579304067080,1480457116435587074,2022-01-15T01:33:03.000Z,0,0,0,0,1482163890599653379,1463905680784433166
"""this is the most incredible project I've ever seen, guys please join with me @baklavaspace @avalancheavax",1443464587106402305,1482163782038454273,2022-01-15T01:32:37.000Z,0,0,0,0,1482163782038454273,
"@HeroesChained @AvalaunchApp @SeedifyFund @avalancheavax @el33th4xor @kevinsekniqi This will be very useful in the future because it is supported by a professional team with great goals and big plans for the future. Thanks 
@Alamin50131257
@forid320
@ahsansajib00
@Sazadss
@Tipu69993375

#IDO 
#Avalanche #AVAX @el33th4xor @kevinsekniqi #PlayAndEarn",1428780283612917765,1481939767617011714,2022-01-15T01:32:14.000Z,0,0,1,0,1482163685812768769,1460891627623522311
"@Avalanche_Space @ThorusFi @DeBankDeFi @avalancheavax I'm so Happy for this another Goodnews!
This listing and Tracking of your platform will really pave a way for more Oppurtunity to come on your 
Platform,this will be the start of big milestone on your platform and I can't wait to see your Progress and Success !",1482082926485716993,1482019125706690561,2022-01-15T01:31:49.000Z,0,0,1,0,1482163580279480323,1409531617773723650
@Avax_News @AvawareAVE @Platypusdefi @AvaOneFinance @MultichainOrg @PlayCrabada @AnyPrinter @Allbridge_io @Islander_io @TeddyCashLive @avalancheavax Love to see $ANYP up there!,1373854302352125959,1481953072930766851,2022-01-15T01:31:46.000Z,0,0,1,0,1482163567533113345,1419074643277885444
"Let,s join guys.. good project.. 
@baklavaspace  @avalancheavax",1476032113740705794,1482162995174473729,2022-01-15T01:29:29.000Z,0,0,0,0,1482162995174473729,
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain Good project 
#RacingFish #FiFi #AVAX #AVAXNFT $FiFi",1391580706027966464,1480457116435587074,2022-01-15T01:29:07.000Z,0,0,0,0,1482162899171053569,1463905680784433166
"@AvaxLions @avalancheavax @LydiaFinance The most beautiful things in the world cannot be touched, cannot be seen with the eyes, they have to be felt only with the heart-love 🥰🥰

@Cryp_Soer019 
@AprioChan99 

#ForLionsByLions https://t.co/DA17ouxSXx",1476790842048212994,1482071655975473153,2022-01-15T01:29:02.000Z,0,0,0,0,1482162878170148871,1438093323319844871
"@Fishfinance_io @yayprotocol @Avax_Journal @avalancheavax @AvaxholicVN @avaxholic @AVAXDaily @avalabsofficial @bsc_daily @BinanceChain I believe this project will be great. This project has its own characteristics so that it becomes an attraction for users. I hope this project will be successful in the future and will be the best
@MDHabib04
@rishikadevnani 
@ra_kona 
#RacingFish #FiFi #AVAX #AVAXNFT $FiFi",1176919835143368704,1480457116435587074,2022-01-15T01:26:59.000Z,0,0,0,1,1482162365785600000,1463905680784433166
