text,in_reply_to_user_id,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id
"@slyflymccartney @SoulDogsNFT @solana @MagicEden_NFT @MrEVideos Wanna dovsome cheeki-breeki breeding, to have some half mutant? @SoulDogsNFT 
Ruff ruff https://t.co/yD5HnhfWUe",1032499288868356096,1458787483567722506,1482135535372091399,2022-01-14T23:53:47.000Z,0,0,5,0,1482138907999358979
"@mattwyndowe @solanalabs @solana This is amazing, congratulations! Love what Solana is doing, please kindly check your messages when you get the chance 😁",3696961,1346211293661958146,1482068776275251203,2022-01-14T23:53:45.000Z,0,0,0,0,1482138899141046275
@joemccann @solana meanwhile yt videos are free 🧐,14814762,863162833244213248,1482015751527546885,2022-01-14T23:53:17.000Z,0,0,0,0,1482138782552018944
@slyflymccartney @SoulDogsNFT @solana @MagicEden_NFT @MrEVideos Ruff ruff and away! Beautiful pickup!! #SoulDogs #SolanaDogShow,1032499288868356096,3668857335,1482135535372091399,2022-01-14T23:52:28.000Z,0,0,5,0,1482138577496690691
@OrionDepp @solana @Orion__Research @Orion__Trading I pray I'm favoured,927805704466919424,1462545350682546180,1468752006340874243,2022-01-14T23:50:54.000Z,0,0,1,0,1482138184108621824
@CrypticZoro @SolanartNFT @solana Understood 🙏🏼 People are in it for the hype. The art is lovely but that’s really it. You can get a community for free else where💜,1460131482043879427,1458479487377625096,1480291318630961155,2022-01-14T23:50:50.000Z,0,0,2,0,1482138165850824704
@Saymour34 @DegenTrashAce @solana @rogue_pandas @redacted7777 Disgusting… thts if that really is who they are,1455870554142040078,82224605,1481656409351614472,2022-01-14T23:50:49.000Z,0,0,1,0,1482138162965413888
"Hi guys,
@DroniesNFT will be my first Mint on the @solana network 🤟😁🚀🌕 happy to share it with you #NFTs #NFT #nftcollectors",,293759750,1482138162835120130,2022-01-14T23:50:49.000Z,0,0,4,0,1482138162835120130
My bet is @TheSandboxGame plans on becoming interoperable with @solana this year 🧐,,593194703,1482137796777238528,2022-01-14T23:49:22.000Z,0,1,2,0,1482137796777238528
"Woodburdz.
Only on 
@solana

Coming soon. 

#nft #burdz #woodburdz #Solana https://t.co/GNljXaklew",,1481241674554740749,1482137736329011203,2022-01-14T23:49:07.000Z,1,0,0,0,1482137736329011203
"Verifying my transaction for @Saber_HQ on @Solana.

🔄☀️ https://t.co/DqkA4Nb9A6

Trial tokens claim id: 302129783185

$SOL",,718197394458951681,1482137612500492293,2022-01-14T23:48:38.000Z,0,0,0,0,1482137612500492293
"@CryptoDiffer @binance @cz_binance @FantomFDN @MoonbeamNetwork @OasisProtocol @NEARProtocol @0xPolygon @solana @Polkadot @dogecoin @bitgertbrise
 Its a Crypto Organization focused on mass Blockchain solutions.

They have delivered:
Audit solutions 
dApp wallet
Payment System (P2P)
82K+ holders reached
...

Incoming on 2022:
CEX 
Blockchain (Gas less) 🚀🚀🚀

100x easy...",963815487481303040,1455399737511788548,1481938890915258369,2022-01-14T23:47:00.000Z,0,0,0,0,1482137202498936837
@unlimitedcope @phantom @solana Amazing hidden project!!,1334101702329438214,1430556623961874432,1482104599918034951,2022-01-14T23:46:06.000Z,0,1,3,0,1482136976598142976
@beeman_nl @MagicEden_NFT @SolSeaNFT @formfunction @solana @Kin_Ecosystem @SolanartNFT @Cent No problem! I'll do anything for @Kin_Ecosystem @beeman_nl,11481502,130995863,1482114866806726665,2022-01-14T23:46:04.000Z,0,0,2,0,1482136968494342146
@OrionDepp @solana @Orion__Research @Orion__Trading Must have Trustwallet,1351415647,1351415647,1468752006340874243,2022-01-14T23:45:54.000Z,0,4,0,0,1482136926757036032
"@DegenTrashAce @sainteclectic @solana @rogue_pandas @redacted7777 fyi,  The admin took down their LinkedIn after banning me from discord for questioning its legitimacy... Its  now back up,  changed the work history.  Also where they attended college changed as well.  dyor.  or not.

https://t.co/eweMtkWuQz",1462222170529177609,1455870554142040078,1481656409351614472,2022-01-14T23:45:54.000Z,0,1,2,0,1482136925628735493
"@OrionDepp @solana @Orion__Research @Orion__Trading If you're interested in an airdrop, click on the link below. It ends in 5 days. Up to $200 for grabs:

https://t.co/Ul44LL2rOL",927805704466919424,1351415647,1468752006340874243,2022-01-14T23:45:42.000Z,0,1,0,0,1482136874479230985
"@solsnake_solana @CoinMarketCap @coingecko @solana @RaydiumProtocol @elonmusk This is the real and promising project with prove 

@dackmessi 
@GeneUnitedy 
@slaqueNOT 

#SNK #SolSnake #Airdrop #Airdrops #SolanaAirdrop #SolanaAirdrops",1481646705456316416,1452125291887796225,1481670562548416513,2022-01-14T23:43:09.000Z,0,0,0,0,1482136233228881921
@VitalikButerin @solana #ADA has biggest community whales can’t pump n dump.,295218901,1311691441601609728,1481737970562789376,2022-01-14T23:40:49.000Z,0,0,2,0,1482135645598654464
"@baalazamon @solana @PythNetwork @wormholecrypto @JumpCryptoHQ @HxroNetwork @holaplex @civickey @NarwhalNation @samoyedcoin TY @baalazamon and @redacted_j 

All are welcome at @coin_fx  

Wed 19 21 @ 5PM 

Just a short miserable few blocks east of the main event.

https://t.co/9uvtfVtnUZ",43670928,1432061520209403908,1482109167712223235,2022-01-14T23:40:47.000Z,0,1,5,0,1482135639290257412
I aped into @SoulDogsNFT because the art is straight glass! 🔥 this is 1st @solana nft &amp; 1st time shopping on @MagicEden_NFT super smooth transaction. I call him Pressino 🤣 S/O @MrEVideos for putting me on 🙌 #NFTCommunity https://t.co/VDKbrouexZ,,1032499288868356096,1482135535372091399,2022-01-14T23:40:23.000Z,25,18,108,2,1482135535372091399
@mattwyndowe @solanalabs @solana big congrats matt!,3696961,888166280053837825,1482068776275251203,2022-01-14T23:39:16.000Z,0,0,0,0,1482135254458535936
"@rajgokal @Costco @solana Launch your #IDO on Orijin for free on #Polygon and #BSC 👋🏼

No upfront fee, beautiful UI. 

Launch today - we’re live! 😍

https://t.co/JjO47pEvre",101833150,1395689170539003905,1481332989862764550,2022-01-14T23:38:51.000Z,0,0,0,0,1482135151584886785
@ayekeh @SlimBiggy2 @SynchronyFi @Wednesdays_NFT @KriptoTurkiye81 @RunTheChain @solana @Crypto_Briefing @SanctorCapital Get ready to be lectured about frogs 🐸😂,267754080,2299797668,1482046777209597954,2022-01-14T23:38:31.000Z,0,0,2,0,1482135065794592768
"@OrionDepp @solana @Orion__Research @Orion__Trading I hv not seen anyone to help me yet, pls fellow Nigerians help me as I got a higher purchase of tokunbo(2007) Toyota Sienna as an opportunity and dealer ask of #200,000 down payment b4 releasing the car. Ur contribution goes a long way.

:- 1405019028, access bank. Pls  help me.",927805704466919424,1309541013514604545,1468752006340874243,2022-01-14T23:38:05.000Z,0,0,0,0,1482134958202314761
@mattwyndowe @solanalabs @solana Wow! That’s amazing. Bring Solana to the to the masses. 1b more wallets!,3696961,448503055,1482068776275251203,2022-01-14T23:37:10.000Z,0,0,0,0,1482134725728907269
"Try to #HODL at least 1 year. 
At least 3 #altcoins with use-cases. 
@BinanceChain @ethereum @solana 
Tell me a year later.",,1478152280436133889,1482134351836061697,2022-01-14T23:35:40.000Z,0,0,1,0,1482134351836061697
"Welcome @solana, @cardano &amp; @terra_money! #cardano #terra #solana #eth #bnb https://t.co/IT1XNw1DVP",,1140166453741654017,1482133900457615366,2022-01-14T23:33:53.000Z,1,4,10,0,1482133900457615366
