conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1493402205260759040,,4,4,22,3,1493402205260759040,welcome to the team AirSquatch ⛹🏻‍♂️ will you help your fumilia win SOL and $FUM in the future? or will you stumble and cry while being lifted off the court like a paper hand 👀👀👀 time will tell. #solananfts @solana #nfts #nft #NFTCommunity #ChicagoBulls https://t.co/Epy6L4IZKA,2022-02-15T01:50:06.000Z,1443469648566099970
1493240945084669957,111653829,0,0,3,0,1493402177280233475,"@knox_trades @solana put in sports arena PoS systems, and cut 5 years into 2.5.",2022-02-15T01:49:59.000Z,15567173
1493156368810872838,1454084218368057351,0,0,1,0,1493402000037318658,"@getpipcom @solana Great platform 
dilipkumar234@solana",2022-02-15T01:49:17.000Z,1257189528965533696
1493401794944258048,,3,2,52,1,1493401794944258048,"I'm not going to stand in the way of this bullish belief, but will add that @Solana Pay + @Brave Wallet w/Solana support will likely prove to be high octane accelerant. ;-) https://t.co/VKzLIGlW2D",2022-02-15T01:48:28.000Z,15567173
1493223505277583361,1394251423030947842,0,3,2,0,1493401539557621760,"@bloktopia @avalancheavax @Chiliz @chainlink @animocabrands @CoinMarketCap @kucoincom @Bitboy_Crypto @ElrondNetwork @Cointelegraph @TheBinanceNFT @solana @travalacom @jakepaul @antifundvc @0xPolygon @Algorand I can’t afford a partner, I’m 82% down on my Blok investment, and it’s only 4% of the coins in circulation 🤯 I’m fucked",2022-02-15T01:47:27.000Z,1447429725983547393
1493398404348719109,1491138594697797640,1,2,1,0,1493400880728526850,"@hackerhouses @solana I told you #SOL will make us millionaires 🤪🤪🤪🤪 Metrics never tell lies
https://t.co/kv8ZoKtcss",2022-02-15T01:44:50.000Z,1324674814238314496
1493377772181467136,951329744804392960,1,1,1,0,1493400797933096961,@solana Best still to come with SOLANA💪,2022-02-15T01:44:30.000Z,1476877318165610498
1493400755511910401,,0,0,1,0,1493400755511910401,👀😳👀 Double digit GAINS!! Looks like @solana is doing that thing again!!! 🚀🌕 #Solana https://t.co/6gY8XYKr3Y,2022-02-15T01:44:20.000Z,1438151677018886150
1493398404348719109,1491138594697797640,1,2,3,0,1493400643603775493,@hackerhouses @solana Soon 😇,2022-02-15T01:43:54.000Z,1312723687863451649
1493223505277583361,1410496840940802049,0,0,1,0,1493400414070489094,"@Memleketiminko1 @bloktopia @avalancheavax @Chiliz @chainlink @animocabrands @CoinMarketCap @kucoincom @Bitboy_Crypto @ElrondNetwork @Cointelegraph @TheBinanceNFT @solana @travalacom @jakepaul @antifundvc @0xPolygon @Algorand lf I could afford a space I would like to make a gallery to sell my art on the 6th floor, where they want to have virtual conferences... 
- already have a gallery in DCL 
139, 47 check it yo!",2022-02-15T01:42:59.000Z,3208226445
1493400360802738179,,1,1,5,0,1493400360802738179,"get ready .....
@GeckosNFT @TheGodsNFTs #GeckosNFT @MagicEden_NFT @solana https://t.co/YZ2JpPd9m6 https://t.co/CjK9UXqWki",2022-02-15T01:42:46.000Z,1428034525964144647
1493230422305624065,1260932102440140802,0,0,0,0,1493400326845595648,@cryptodevon04 @solcialofficial @solana Not hardly. Twitter statements as if foregone conclusion and acted as if active. That's not confidence building.,2022-02-15T01:42:38.000Z,15087391
1493400033303093249,,0,0,2,0,1493400033303093249,"Launching a new NFT on @solana 

See the beauty of the female form in a whole new light on @SolSeaNFT 

https://t.co/nhJKk4ZjXm

#NFT #NFTdrop #SolanaNFTs #NaturalBeauty https://t.co/OcyiBdTEtT",2022-02-15T01:41:28.000Z,1492941890232197125
1493393122772275201,947773454882709511,0,1,10,0,1493399758118875137,"13/ We hope you’ve enjoyed our market update! We will be at #ETHDenver and are also currently at @solana Hacker House in Singapore right now! 

Come say hi and let’s connect 😎

#cryptocurrencies #crypto #community #ethereum #Solana https://t.co/qKcYQjnDYW",2022-02-15T01:40:23.000Z,947773454882709511
1493398404348719109,1491138594697797640,0,1,0,0,1493399612736081925,@hackerhouses @solana Great looking event! Well done 👍,2022-02-15T01:39:48.000Z,1485972949714841604
1493392339548577793,1393779492032761859,0,1,4,0,1493399336490704896,"@case__crypto PoS networks can’t be maximally extractive because they are easy to fork. Stake is virtual, not a physical resource.  The amount of roi on stake will approach 2-4x the physical cost of running the hardware. @solana is already there",2022-02-15T01:38:42.000Z,2327407569
1493399237979107329,,0,0,0,0,1493399237979107329,"Get ready for the moon !!I believe this project will success in the future. 
Thanks for sharing the opportunity. 
@OlimpNft @solana #NFTMarketplace  #SolanaPay  #Solana https://t.co/wGWuZ3fw8l",2022-02-15T01:38:19.000Z,1060032253080743937
1493397146183233539,1469549866401497089,0,0,5,0,1493399108110925824,"@_PeachFun @solana more than an image, utility is everything",2022-02-15T01:37:48.000Z,177780335
1493394493676003328,82224605,0,0,2,0,1493398906125836292,@sainteclectic @TheRealCrypdoh @solana Wow looks fun 🤩,2022-02-15T01:36:59.000Z,1483273818042949632
1493397146183233539,1469549866401497089,0,0,2,0,1493398881849131008,@_PeachFun @solana Win Win!,2022-02-15T01:36:54.000Z,1479099425339285505
1493397146183233539,1469549866401497089,1,0,5,0,1493398534015823872,@_PeachFun @solana @Oprah You'd suit a job here,2022-02-15T01:35:31.000Z,944208851045310464
1493215016048377858,1435710222165843974,0,0,0,0,1493398430516858880,@elements_nft @SolanartNFT @solana Very nice,2022-02-15T01:35:06.000Z,1466081634562625543
1493397146183233539,1469549866401497089,1,0,6,0,1493398402050273282,@_PeachFun @solana I feel like I need some coffee &amp; a nice big window to sit by while I read each page of this. I'm loving it.,2022-02-15T01:34:59.000Z,3253299799
1493397146183233539,1469549866401497089,0,0,3,0,1493398343556362241,@_PeachFun @solana We got this. Have you???,2022-02-15T01:34:45.000Z,1467683490552418305
1493397146183233539,1469549866401497089,0,0,5,0,1493398237948297217,@_PeachFun @solana Utility is the keyword here.,2022-02-15T01:34:20.000Z,1475590609377239040
1493397146183233539,1469549866401497089,0,0,5,0,1493398205685538816,@_PeachFun @solana Free for all,2022-02-15T01:34:12.000Z,365709202
1493156368810872838,1454084218368057351,0,0,0,0,1493398156079296516,@getpipcom @solana sol.sol@solana,2022-02-15T01:34:01.000Z,1317838476692258817
1493397146183233539,1469549866401497089,0,0,5,0,1493398134462062597,@_PeachFun @solana let it🍑,2022-02-15T01:33:55.000Z,1435587268647866369
1493397146183233539,1469549866401497089,0,0,3,0,1493398108860035085,@_PeachFun @solana The best,2022-02-15T01:33:49.000Z,1490914975350677506
1493397146183233539,1469549866401497089,0,0,5,0,1493398088496594947,@_PeachFun @solana Imagine the possibilities! Just fucking join fam!,2022-02-15T01:33:44.000Z,1304415339887853568
