conversation_id,in_reply_to_user_id,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,text,created_at,author_id
1459997808983896067,1357249692099313665,0,1,0,0,1460025438453977088,@moneymindedgirl @AlphaSeeker21 @terra_money Isn’t it a stable coin ? How can it go up ?,2021-11-14T23:22:45.000Z,1331664179380580354
1459973266739585024,1381887820206206986,0,0,0,0,1460025393184796674,@pylon_protocol @terra_money @limowooj @wengzilla @TerraBitesPod Love the new ux,2021-11-14T23:22:34.000Z,729050562
1460025374264283136,,0,3,12,0,1460025374264283136,"My first @galactic_punks! This commander suit gives me @AltCarb vibes. Welcome home Takeshi 

Keen to get involved with the #GalacticPunks validator. Reliable, low-commission and community-led option for contributing to @terra_money network. #GalacticDAO #NFTs https://t.co/iTr7qb85Nj",2021-11-14T23:22:29.000Z,602608747
1459973266739585024,1381887820206206986,0,1,1,0,1460025116436410374,@pylon_protocol @TheRyanLion @limowooj @wengzilla @TerraBitesPod @terra_money I thought this was supposed to be out this week? Nonetheless good update/communication,2021-11-14T23:21:28.000Z,1199908402283110400
1459732838966775822,1373389818193981447,0,0,0,0,1460024925486522374,@SolanaNews @Allbridge_io @Saber_HQ Bring @terra_money via Allbridge.,2021-11-14T23:20:42.000Z,1255852437015060490
1459794120264744962,1395592077925183499,0,1,0,0,1460024895992041472,@Terrians_ @loop_finance @archon_0x @Josephliow @SmartStake @terra_money @sjpark_TFL @AlphaSeeker21 @martecloud @LunaCpt All of Terra is undervalued right now,2021-11-14T23:20:35.000Z,1345520825147957248
1460024641712443393,,0,0,11,0,1460024641712443393,"I love threads like this. There is so much magic happing on @terra_money , @astroport_fi is one ALL are excited for. Read below https://t.co/I6u6r67eqD",2021-11-14T23:19:35.000Z,1276528724318588929
1460013673733234689,943506806931734528,0,1,13,0,1460022581877112839,"@intocryptoverse The answer to your question is Luna Bulls on the @terra_money ecosystem.
-Genesis NFT
-Awesome art
-Charitable via @angelprotocol 
-3D tesseract to be dropped this month
-Very BULLISH https://t.co/l3h95vdv1s",2021-11-14T23:11:24.000Z,1442937218075561984
1460013673733234689,943506806931734528,0,0,18,0,1460022264624123907,@intocryptoverse @LunaBulls on @terra_money. Best community on Terra hands down. Available on @randomearth_io. https://t.co/8ARZ4kpqWv,2021-11-14T23:10:08.000Z,1428551298454937601
1368271665793282048,14191817,0,0,0,0,1460020719815909378,"@SvenMeyer @terra_money Ser, you have mistaken a PR company called Luna with the token $luna 😡",2021-11-14T23:04:00.000Z,1287075947074723840
1368271665793282048,1287075947074723840,0,1,0,0,1460020181938290690,"@YieldFarmerJoe @terra_money $LUNA is just pumped up my marketing hype and paid YouTube influencer shilling it ...
https://t.co/m6vjTI61KW",2021-11-14T23:01:51.000Z,14191817
1459981489609846784,3908383092,0,0,3,0,1460019162881929217,@wencol5 @terra_money whats a “zuckerberg” mean in that context?,2021-11-14T22:57:48.000Z,1438361035740782595
1460017647547039746,,6,2,15,4,1460017647547039746,"we need goals!

what should we look at @terra_money, @solana, @NEARProtocol 

transfer, payments is key going forward #crypto #fiat #assets",2021-11-14T22:51:47.000Z,1039158393930481666
