author_id,text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id,created_at,in_reply_to_user_id,conversation_id
1218643432815710210,"We’re excited to announce that we’re now accepting FIVE new #cryptocurrencies! In addition to our existing cryptos, you can support us with:

- @terra_money (UST)
- @AxieInfinity (AXS)
- @SmallLovePotion (SLP)
- @mco2token (MCO2)
- @terra_money (LUNA)

https://t.co/2vrGhLdIgO https://t.co/t0ox3m7mYh",0,0,1,0,1448719649630302215,2021-10-14T18:37:35.000Z,,1448719649630302215
745858104,"@staderlabs @terra_money @staderlabs

@terra_money
It is a really LEGIT project. 
@stefan57679390

@CountVladius

@FelixSc11803353

0x29cDEC22bc30688E691Dd043d0Ec37baf0886119",0,0,1,0,1448718964201250822,2021-10-14T18:34:51.000Z,1387924807480664067,1448330530450067458
1441521325135196161,@HuobiGlobal @Bitcoin @ethereum @Polkadot @Filecoin @Shibtoken @terra_money $LUNA Face melter.,0,0,0,0,1448718944257384462,2021-10-14T18:34:46.000Z,914029581610377217,1448471368694214656
1341419161428353024,@CryptoBOOM45 @ErikVoorhees @terra_money @cosmos Way more bullish for $LUNA,0,1,4,0,1448718901882155008,2021-10-14T18:34:36.000Z,987725188069494784,1448694789302460417
1441521325135196161,Look at the exchanges now noticing $LUNA. @terra_money. #FOMO Let’s go!!! 🚀🚀🚀 https://t.co/TZCzsQrHOd,0,0,0,0,1448718869951098882,2021-10-14T18:34:29.000Z,,1448718869951098882
745858104,"@staderlabs @terra_money guys let's support this amazing and lovely created universe 🛰️🚀
🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌
@stefan57679390 

@CountVladius 

@FelixSc11803353 

0x29cDEC22bc30688E691Dd043d0Ec37baf0886119
🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌🌌",0,0,1,0,1448718647749402628,2021-10-14T18:33:36.000Z,1387924807480664067,1448330530450067458
2894337255,"#LUNA @terra_money is going to leave for the moon 🌙 🚀. Be seated please, fasten your seat belts ladies &amp; gentlemen. https://t.co/pRUYZtlsTD",0,0,0,0,1448718024127746048,2021-10-14T18:31:07.000Z,,1448718024127746048
982258446484488197,"You have $LUNA ? Receive Airdrop  $VKR and  extra bonus 👍
@valkyrie_money @terra_money    .  . 

https://t.co/RJSyNjU8Wd",0,0,0,0,1448717613354426374,2021-10-14T18:29:29.000Z,,1448717613354426374
1268305882384924678,"@WARWINCRYPTO @TheMoonMidas @terra_money It does actually make a huge difference. Key word volatility. The only logical answer is pricing in UST. I understand that’s not how NFTs are priced rn but it’s not a mature market place at this stage, in years time that will change",0,0,0,0,1448717434979078146,2021-10-14T18:28:47.000Z,1367240008697073667,1448408430205677569
849368232,@crunks_nft @randomearth_io @LunaNFTanalysis @LunaBulls @galactic_punks @terra_money Fantastic. Joined the discord and will read up on the project. Cheers,0,0,1,0,1448717268448317444,2021-10-14T18:28:07.000Z,1445684243120549892,1447550648174530562
730278545621032961,@gemhost @thekwoonies @terra_money Done! https://t.co/SQqaOMA3zy,0,0,0,0,1448717017964367872,2021-10-14T18:27:07.000Z,3306286357,1448249661593047048
1447121706301235205,@binance @BinanceAcademy @terra_money Wen UST,0,0,0,0,1448716772941647872,2021-10-14T18:26:09.000Z,877807935493033984,1448445999073083397
849368232,@BalitskiyDenis @terra_money Great thread. Tks,0,0,0,0,1448716459060965385,2021-10-14T18:24:54.000Z,1392872630911442945,1448418911326818309
