text,in_reply_to_user_id,author_id,conversation_id,created_at,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,id
"We've beta tested the @kado_money Ramp and can confirm...

It's worth the wait❣️

Got $UST into my @terra_money wallet in just a few minutes, and paying just a $2 fee https://t.co/WuI8RYK05i",,1439050947880267779,1493240164205793280,2022-02-14T15:06:12.000Z,0,2,27,0,1493240164205793280
@arthuryeti @terra_money Bali is in my country. Let’s go.,47754498,1344921868759830530,1493150493530804226,2022-02-14T15:05:45.000Z,0,0,1,0,1493240050947178503
@arthuryeti @terra_money @superphly Should we kickstart this in every big city?,535662615,535662615,1493150493530804226,2022-02-14T15:05:31.000Z,0,4,17,0,1493239989844561923
@arthuryeti @terra_money I know @superphly wants to do something like this in Mexico City,47754498,535662615,1493150493530804226,2022-02-14T15:04:51.000Z,0,2,11,0,1493239824354009095
@knowhere_art @terra_money great project Veery good project Good Future  @VenturesGenius @Magnus_fund @heroverse_game @mBTCPiz @adamjacksonsf @jverheul,1438400822040154115,1427650340116078592,1478712916413071363,2022-02-14T15:04:11.000Z,0,0,0,0,1493239654346334215
"@iii_OIO_iii @terra_money Indeed.
Very easy to use,fast and cheap.
No transaction failed for me ever.
💯",1276528724318588929,179195959,1493210781768470536,2022-02-14T15:02:52.000Z,0,0,0,0,1493239323218567172
"@knowhere_art @terra_money Good project 

#LUNAtics $UST $LUNA #NFTMarketplace",1438400822040154115,1447378039998844930,1478712916413071363,2022-02-14T15:02:40.000Z,0,0,0,0,1493239271465324552
@LunarCrush @XRPcryptowolf @Metahero_io @ShinjaToken @terra_money @StarLinkETH @RunOnFlux @verasitytech @SuperRare @ShibaAustralia @ShibArmy Nice project !,988992203568562176,1189060543455215616,1492793994258137089,2022-02-14T15:02:19.000Z,0,0,0,0,1493239183393304577
"@knowhere_art @terra_money Wonderful project, this project is very good and this projector has a lot of attractions, so hopefully the project will be better in the future and the cryptocurrency will be the best.

@MikailIslam16 
@Asraful38466403 
@Gaby15188388",1438400822040154115,1422471943039553543,1478712916413071363,2022-02-14T15:01:03.000Z,0,0,0,0,1493238866915909637
"@arthuryeti @terra_money I have a programming background and in Jakarta, def interested to learn more.",47754498,1461013849868439559,1493150493530804226,2022-02-14T14:58:37.000Z,0,0,2,0,1493238253641957381
"@kevinhbeardsley @xdefi_wallet @astroport_fi @terra_money @anchor_protocol @pylon_protocol @TeamKujira How about a mobile app next next , yeah?",40976022,1288560558829182977,1493211765097783303,2022-02-14T14:58:15.000Z,0,0,2,0,1493238162495348739
"@vamsikrishnaut1 @arthuryeti @terra_money Yes , very soon :)",3638202991,1472870199074312194,1493150493530804226,2022-02-14T14:57:48.000Z,0,1,2,0,1493238047126614017
@arthuryeti @terra_money @TerraIndiaChap  any plans for Indian dev hub 😩,47754498,3638202991,1493150493530804226,2022-02-14T14:57:10.000Z,0,1,1,0,1493237891002089472
@kevinhbeardsley @xdefi_wallet @astroport_fi @terra_money @anchor_protocol @pylon_protocol @TeamKujira Are you planning mobile app?,40976022,1348941128175923200,1493211765097783303,2022-02-14T14:56:48.000Z,0,0,1,0,1493237795795742723
@StaxStallion @arthuryeti @terra_money im in,1258082339957157888,950099009875664897,1493150493530804226,2022-02-14T14:56:35.000Z,0,0,1,0,1493237744029814784
"@LunaShield_ @terra_money @luart_io These look very cool, some epic stuff coming to Terra!! - Dont forget us at @dao_ion today our whitelist comp ends! Have a guess, its free! 

https://t.co/I4EnGiVbrg",1458146592205254656,1355720330006786050,1493223507949457415,2022-02-14T14:56:34.000Z,0,0,2,0,1493237736706301954
@Xoxoxo_hug08 @iSafePal @terra_money @FaceBox_app Promote it on https://t.co/bNZS5L6BdU,1449360275660939275,1480883644201717766,1483749179625467908,2022-02-14T14:56:21.000Z,0,0,0,0,1493237684566855683
@kevinhbeardsley @xdefi_wallet @astroport_fi @terra_money @anchor_protocol @pylon_protocol @TeamKujira Any written/video guide available for the anchor function?,40976022,1455266203879055363,1493211765097783303,2022-02-14T14:54:57.000Z,0,1,1,0,1493237329892462594
"@iSafePal @terra_money @FaceBox_app  is a development of DeFi Yield Farming &amp; gaming NFTs #Metaverse inspired by MOBOX. In FACEBOX, everyone can build a MILLION dollar gaming portfolio.

✨Join us for more info:
Telegram: https://t.co/SwupiW71cC
Discord: https://t.co/DrSZDBYwPa https://t.co/NdxKguoXl9",1068417957686992896,1449360275660939275,1483749179625467908,2022-02-14T14:54:48.000Z,0,1,1,0,1493237294798901249
@knowhere_art @terra_money Nice,1438400822040154115,1486295184992522247,1478712916413071363,2022-02-14T14:47:34.000Z,0,0,0,0,1493235473057456128
@thegoogleguy @daftcryptopunk @eeyernlee @terra_money @Nationals Soon,16900792,4746375182,1493004777843687426,2022-02-14T14:45:47.000Z,0,0,2,0,1493235022572109828
@Defi_Eagle @cupid_farm @RaydiumProtocol @seedednetwork @tofuNFT @FreePortGame @terra_money @planet_finance a new Fusion pool has arrived yesterday. I am getting so excited to try it because I know that it has a lot of new things to offer.,1339475581931548672,1406080854749696002,1493159639038545921,2022-02-14T14:44:58.000Z,0,0,0,0,1493234819853340672
"@Bounty_ATM @777s_casino @terra_money good project
@WvAu5d8B5AyGtfK 
@ertyuyui_i_ 
@QwervcM",180742226,1446525619441790979,1491824799710351360,2022-02-14T14:44:54.000Z,0,0,0,0,1493234802526285827
@CryptosPsycho @DefiSpecter @THORChain @terra_money Thorchain didn't want to build it because it wouldn't be able to compete against $UST - there's much larger players that already lost to it - what do you think would happen if Thor invested time and money into building something that would get crashed on entry,1418989204382621704,75126372,1493194122911522819,2022-02-14T14:44:25.000Z,0,1,0,0,1493234679436218369
Who gave them the authority to freeze our transactions @CoinSwitchKuber you will have to pay for this!! @terra_money what about my coins stuck here!!!,,1460195277965570051,1493234498955530245,2022-02-14T14:43:42.000Z,0,1,1,0,1493234498955530245
"@loop_finance @terra_money @LunaBulls @Terra_Lunatics 6 days LOOPR devaluation of one-third, you have the nerve to be here BB",943411094499946497,1437378807925641217,1493209918505164802,2022-02-14T14:43:28.000Z,0,0,0,0,1493234440788922368
