text,public_metrics/retweet_count,public_metrics/reply_count,public_metrics/like_count,public_metrics/quote_count,in_reply_to_user_id,conversation_id,author_id,created_at,id
@CryptoDiffer @wavesprotocol @ethereum @terra_money @BinanceChain @avalancheavax @solana @FantomFDN @0xPolygon @trondao @harmonyprotocol @osmosiszone Wave 🔷🚀👍🏻 https://t.co/5kCJrmcOzv,0,0,1,0,963815487481303040,1482019836368674820,1374627535137468416,2022-01-14T19:18:55.000Z,1482069737010085888
"gm. 🙏 for the overwhelming support of 🐚 love! Grassroots communities will build the bridge for everyday consumers to get high &amp; stable yields on their cash 👉 https://t.co/UtyrZ2lsEm

Special s/o to early supporters of ours @sandeepnailwal, @0xPolygon, @terra_money, @solana 🤝",173,8,388,4,,1482069573742436352,1388980752310624259,2022-01-14T19:18:16.000Z,1482069573742436352
How to Purchase Terra LUNA Tokens and Store in the Terra Station Wallet https://t.co/JBBCQmVUAo via @YouTube @terra_money,2,1,13,0,,1482068580741128192,932032365869744128,2022-01-14T19:14:19.000Z,1482068580741128192
"#Terra is down 5.03% for the day
#LUNA is trading at $81.21 #USD 
For the week, $LUNA is up 12.22%
For the month up 37%
60 Days up 54.74%
90 Days up 110.07%
Year to Date down 5.27%
For the year up 9,955.54%
#Dominance 1.36%
#Crypto #Cryptonews #Cryptocurrency @terra_money",0,0,1,0,,1482067735106527242,22495289,2022-01-14T19:10:58.000Z,1482067735106527242
"@Over_Revving @nayibbukele @terra_money how I made $200 with just doing survey .Start Online Part-Time Job and get paid Weekly. available worldwide...click on this link to know better and start making your cool cash, withdrawal available on Bitcoin and PayPal

  https://t.co/RNaN4Tggd9",0,0,0,0,1125628178184192001,1482066595577012226,1125665851221450753,2022-01-14T19:09:03.000Z,1482067254879653889
@nayibbukele Have you considered exploring the @terra_money ecosystem? I need the price to go up,0,1,7,0,20736511,1482066595577012226,1125628178184192001,2022-01-14T19:08:22.000Z,1482067081612955656
@NexusProtocol @terra_money loving the re-balancer strategy you want to offer. awesome. keep up the good work. looking forward to use it.,0,0,1,0,1383761761468178432,1482048324764979200,1434212002868703241,2022-01-14T19:07:34.000Z,1482066878818398217
"@iii_OIO_iii @terra_money @prism_protocol 
@loop_finance 

@O_Darouiche 
@Motivatingjean 

Tic tac ...",0,0,2,0,1276528724318588929,1481778879882842112,1341435522053529602,2022-01-14T19:05:09.000Z,1482066272498106376
@Crypto_Carlosa @TerraLUNADaily @terra_money I thought 9% on Binance was better than 6% on Terra but I guess not if I'll be missing on airdrops,0,2,1,0,1337041256229163009,1481905971253608451,43711518,2022-01-14T19:02:47.000Z,1482065675120222210
@WOOnetwork @terra_money please add $ust pairs!,0,1,1,0,1007035113065144320,1481948815368364033,1448438872854069253,2022-01-14T19:01:33.000Z,1482065367400812547
@JasonHitchcock @crypto_condom @terra_money @fraxfinance @ConvexFinance @VotiumProtocol yes! also my two largest bags,0,0,0,0,18894874,1482031419811676161,2509078605,2022-01-14T19:01:02.000Z,1482065235003510792
@DannyLandaXO @WOOnetwork @terra_money use anchor borrow and keep your luna ser,0,0,0,0,928676703093821440,1481948815368364033,1448438872854069253,2022-01-14T19:00:29.000Z,1482065099904864258
@Crypto_Carlosa @AlmostXy @TerraLUNADaily @terra_money @Terra_Land Thank you ser.,0,0,1,0,1337041256229163009,1481905971253608451,19749890,2022-01-14T18:58:54.000Z,1482064701576019969
"@staderlabs @TerraLUNADaily @CoinList @terra_money you should said it in the announcement  , communicate to our beloved #LUNAtics community 
just imo https://t.co/xgUfHB4ayF",0,0,0,0,1387924807480664067,1482054687251910657,1397043227350290433,2022-01-14T18:58:48.000Z,1482064675357757442
@Crypto_Carlosa @AlmostXy @TerraLUNADaily @terra_money @Terra_Land That's good.,0,0,1,0,1337041256229163009,1481905971253608451,19749890,2022-01-14T18:58:42.000Z,1482064650262831109
@leap__terra @galactic_punks @TerraFloki @LunaBulls @spaceloot_nft @Astroverse_NFT @Luna_Apes @Hero_NFT_ @WomenVsApes @STYLLARNFT @Soulhunterworld Damn I need more NFT in @terra_money. The only one I have is @tns_money #LeapNFTLaunch https://t.co/q8UJaNoNV6,0,0,0,0,1455884221306736646,1481715688297603072,1474801430183624709,2022-01-14T18:58:35.000Z,1482064620060024835
@seb3point0 @stablekwon @terra_money Please ask him when do we get native $UST support on @coinbase pro. It's on ETH network there.,0,0,1,0,15306082,1481696773697589248,65158334,2022-01-14T18:57:19.000Z,1482064301678596099
"How decentralized is @terra_money? 

The Top 10 validators combine for 37.4% voting power!

Perfect decentralization of the active validator set would mean 0.77% each.

How many % is the maximum a validator should have? 🤔

#LUNAtics #redelegate",7,9,63,1,,1482063918281502730,1473090035335536649,2022-01-14T18:55:48.000Z,1482063918281502730
"@mewn21 Firstly Dai is largely backed by $USDC 

Secondly , @terra_money please retweet the poll",1,0,28,0,1261412735499112448,1481803398135517185,1276528724318588929,2022-01-14T18:55:24.000Z,1482063817718829060
"@Omerzone @TerraLUNADaily @terra_money Careful, one other reply there, terra support, are scammers.",0,1,1,0,43711518,1481905971253608451,1337041256229163009,2022-01-14T18:54:37.000Z,1482063623367245824
"@joaosilvestr @TaschaLabs @terra_money I have benefited from this. 

You know what? Maybe it’s good that we let her find out on her own, later. She didn’t mention Cardano at all and that’s fine because at least she has nothing bad to say about Cardano. She doesn’t see it from the data providers she subscribes to.",0,0,0,0,69378065,1482045826461540354,1399072391767085062,2022-01-14T18:53:42.000Z,1482063393133637635
"@ZssBecker When that hits, stable coins especially @terra_money will be essential for solid 20% apy and crypto gaming will be a big area people will turn for their earnings.",0,3,0,0,1243470638477697024,1481606788692725763,1470679063123542022,2022-01-14T18:53:26.000Z,1482063322568552449
@Omerzone @TerraLUNADaily @terra_money Correct. You need to stake at #LUNA Terra station wallet.,0,1,1,0,43711518,1481905971253608451,1337041256229163009,2022-01-14T18:53:17.000Z,1482063285763461121
@eleftherio5 @gangadhar01a @TerraLUNADaily @terra_money Should not be a problem.,0,0,0,0,19749890,1481905971253608451,1337041256229163009,2022-01-14T18:52:37.000Z,1482063120084307969
@eleftherio5 @AlmostXy @TerraLUNADaily @terra_money @Terra_Land Both.,0,2,0,0,19749890,1481905971253608451,1337041256229163009,2022-01-14T18:52:07.000Z,1482062994280304640
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance @DefiantNews @MIM_Spell Stay safe &amp; have a nice weekend, frens! 🙌

[spotlight: ""lfg.gif"" by @_desultor_] https://t.co/HVfLPGv9NT",0,1,2,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:50:41.000Z,1482062631045410818
@DTrawangan @TerraLUNADaily @CoinList @terra_money CoinList doesn't support it ser. We have asked for it.,0,1,2,0,1397043227350290433,1482054687251910657,1387924807480664067,2022-01-14T18:50:35.000Z,1482062608287268866
@jack_zampolin @terra_money @kava_platform @Umee_CrossChain Mars,0,0,0,0,82412279,1481998567262670850,929038914563788800,2022-01-14T18:50:35.000Z,1482062607938895874
"@FantomFDN @terra_money @LooksRareNFT @versumofficial @Route2FI @tombfinance @beefyfinance @DefiantNews @MIM_Spell Moving on, I'm excited about two new NFT marketplaces:

@versumofficial, on tezos chain, with a nice ""by the ppl for the ppl"" approach.
 
@LooksRareNFT, some serious &amp; desperately needed competition for opensea? 🤗
 
I'll be digging deeper and reporting, soon :)",0,1,2,0,1158062700938899457,1482059387896225793,1158062700938899457,2022-01-14T18:47:58.000Z,1482061949353484298
@DannyLandaXO @WOOnetwork @terra_money Good choice,0,0,0,0,928676703093821440,1481948815368364033,1429127802574487553,2022-01-14T18:47:54.000Z,1482061929715752963
